1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 
24.7104 36.5583 47.4856 64.1066 67.2253 68.2414 76.0164 95.9452 99.5467 101.112 102.178 104.842 108.117 113.542 118.491 118.96 125.117 130.608 133.955 134.004 147.81 154.239 157.525 160.342 166.928 166.993 169.783 174.638 176.65 176.951 183.223 193.484 196.796 200.255 200.337 209.955 213.989 220.903 225.791 226.035 232.453 234.38 235.645 253.525 260.798 263.458 267.03 268.317 269.564 271.479 271.97 273.325 279.535 286.487 286.905 298.835 307.881 308.294 310.245 310.743 312.328 315.056 316.32 319.852 322.584 324.674 326.059 338.151 338.497 340.789 340.789 341.782 341.782 343.92 345.36 346.871 348.509 350.234 350.333 350.723 351.363 351.927 352.194 355.793 356.191 357.886 361.476 365.601 366.95 370.225 372.041 374.385 376.273 377.065 377.696 379.527 380.237 382.111 384.731 385.534 385.882 388.206 391.214 393.993 394.898 396.525 397.461 397.688 397.833 401.161 404.393 404.428 405.367 409.158 409.207 
0 3.01847 3.01847 3.01847 5.67042 5.79856 6.09189 6.09189 6.09189 6.98983 7.24028 8.30501 8.30501 8.30501 8.30501 8.85696 8.95246 8.95669 9.08306 9.70379 9.70379 10.5184 11.5296 12.0903 12.1728 12.7051 12.8083 12.9815 13.3352 13.4328 14.3586 14.6057 14.7779 14.7855 14.8717 14.9053 15.0062 15.0062 15.0128 15.2704 15.2728 15.5617 15.5678 15.5678 16.0691 16.1612 16.5283 16.5283 17.2738 17.3295 17.4466 17.5039 17.5039 17.5039 17.6744 17.6744 17.8133 17.8379 17.8434 17.9551 18.0788 18.3953 18.6114 18.6311 19.1374 19.3878 19.4717 22.0164 22.5252 22.5696 24.2305 24.8833 27.0697 27.5291 28.4848 29.1001 29.4898 29.6191 31.2317 31.5816 31.9877 34.4097 34.8744 34.8744 36.6572 38.3113 38.4686 38.4686 39.2031 40.3756 41.9408 43.4742 45.2451 45.4799 47.3424 47.896 47.9409 48.7982 49.8228 52.6181 52.7673 53.6443 55.181 56.2635 59.0352 60.9591 62.6249 63.8637 65.0705 72.2538 72.8284 75.2234 77.5007 78.0526 80.9234 
41.0445 123.609 166.993 173.769 176.38 187.41 204.401 216.894 217.039 225.186 225.5 227.608 230.98 235.207 235.728 236.872 241.816 243.727 246.188 246.334 246.493 252.029 255.892 263.036 270.043 272.564 278.449 286.721 287.516 291.187 294.989 300.077 302.177 306.352 307.483 308.857 315.265 318.998 322.482 328.636 331.437 337.422 342.665 343.496 344.81 347.052 349.53 355.16 356.865 364.773 370.131 371.462 374.216 374.23 376.622 376.849 377.554 382.352 382.584 382.824 386.131 393.218 395.02 396.613 405.66 410.167 410.292 411.634 415.401 417.09 418.585 424.498 427.243 430.843 432.842 444.107 444.17 445.064 445.064 445.961 445.961 448.347 451.285 452.193 452.275 452.51 456.09 456.287 458.426 458.891 461.94 462.623 465.325 465.625 474.309 475.161 478.679 479.698 480.983 481.228 481.775 483.526 487.3 488.534 491.601 496.572 496.908 497.37 499.517 499.801 503.089 504.698 505.455 505.709 507.844 
118.491 119.544 121.419 123.609 124.047 127.113 129.057 133.828 136.89 146.568 149.555 150.423 152.072 152.972 156.182 157.528 157.843 161.675 162.179 165.794 168.439 168.76 177.56 181 186.36 186.766 187.802 189.761 190.221 192.974 193.22 193.956 194.252 205.004 205.686 213.685 224.429 225.173 226.01 226.665 229.835 238.129 248.869 249.511 249.993 252.619 254.002 256.488 260.921 261.093 261.811 262.659 266.222 272.761 273.034 274.886 283.067 283.607 284.588 285.71 292.524 292.603 293.027 296.534 297.017 300.503 302.347 304.865 308.743 308.81 310.453 321.423 321.423 322.251 322.251 323.14 323.14 325.463 328.698 329.44 329.626 330.42 333.498 333.729 335.816 336.965 339.108 339.229 339.949 342.989 351.387 352.557 355.949 356.84 358.039 358.448 358.9 360.793 364.752 365.65 368.763 373.997 374.608 374.615 374.834 376.579 376.9 380.314 381.76 382.611 382.732 384.93 386.541 387.676 388.544 
17.1899 27.3714 45.0489 65.3275 68.6239 72.4746 89.0727 89.286 100.745 100.853 101.408 101.408 101.587 101.587 102.073 103.164 105.073 105.824 105.921 105.986 106.21 106.442 107.554 107.952 108.922 109.402 111.061 111.848 112.023 112.055 112.147 112.423 113.357 113.401 113.462 113.735 114.631 116.891 119.147 120.132 121.667 122.176 122.48 122.73 122.756 123.952 124.302 125.376 125.479 126.392 127.545 128.128 129.505 129.729 130.775 132.106 132.403 132.427 132.612 133.2 133.954 135.258 137.699 137.867 138.066 138.324 138.636 138.828 138.831 138.831 139.761 140.944 142.222 142.804 143.547 143.564 145.042 145.162 145.63 146.243 146.405 146.544 147.246 147.246 147.753 148.608 148.637 149.014 150.444 150.586 150.716 151.268 151.634 152.285 153.33 153.332 153.529 154.237 154.361 155.124 155.373 155.465 155.638 155.638 156.275 157.113 158.822 160.001 161.584 162.55 162.658 162.658 164.19 165.885 166.512 
19.4602 20.3019 28.6882 30.9945 32.4487 33.249 33.7888 35.7816 37.953 44.5557 45.6751 45.8538 49.2598 52.7028 52.9747 54.7472 54.9176 58.5377 59.7425 59.9348 60.3191 64.4772 66.6667 72.3256 73.865 78.0268 83.3292 84.7277 88.3356 88.9274 89.2693 90.2383 91.3882 95.1938 95.6001 97.5426 102.832 107.098 109.947 110.947 112.351 113.495 114.735 114.815 117.471 117.471 118.444 118.444 119.941 120.953 122.361 125.198 126.295 127.681 128.32 129.328 130.701 131.485 132.869 133.273 133.724 135.287 136.787 137.416 138.324 146.413 148.025 149.925 153.093 153.099 153.229 155.202 155.644 156.07 156.634 158.724 160.98 161.819 162.368 163.324 164.453 170.216 172.016 172.247 172.711 173.909 174.173 176.597 177.994 179.932 180.412 181.358 182.721 184.547 185.451 185.56 186.42 187.275 191.121 193.574 194.295 194.778 194.778 195.871 197.285 197.533 199.037 199.037 201.517 203.096 204.207 204.371 205.139 205.238 205.632 
19.0514 24.4485 33.86 36.3946 39.5534 40.3347 45.8402 50.7405 52.8966 54.4479 57.453 57.8009 62.4815 63.0004 68.7711 73.3292 74.0511 79.359 79.6765 82.7272 89.096 95.0466 95.2933 99.5467 100.305 101.453 105.796 110.086 111.999 117.609 128.437 131.453 132.08 133.724 137.779 141.062 143.718 150.423 151.873 159.566 166.401 170.757 172.97 178.42 180.777 181.15 182.377 184.203 185.638 193.662 195.348 211.031 214.696 215.326 220.394 221.538 224.044 227.127 229.836 232.745 236.719 243.09 244.757 245.288 246.334 248.231 248.231 249.239 249.239 249.594 250.349 251.624 253.889 257.123 258.136 258.414 258.472 260.383 262.199 262.425 269.109 274.452 277.465 279.231 279.911 281.691 281.706 283.722 284.55 286.23 287.686 288.091 290.606 290.914 291.571 293.731 295.247 302.229 304.599 304.727 305.116 306.362 308.881 311.833 312.171 313.182 317.143 317.46 317.556 318.125 322.833 325.416 325.734 326.809 326.809 
0 0 3.01847 3.01847 4.47214 4.47214 4.47214 4.50418 4.84631 5.79077 6.26023 7.48341 7.64809 7.93542 7.93542 7.93542 7.93542 8.55256 9.11347 9.24642 9.24642 9.37679 9.97806 12.4863 12.5629 12.9679 13.0071 13.1925 13.5429 13.9203 14.3276 14.3276 14.905 15.2368 15.3349 15.4718 15.5322 15.5684 15.5941 15.5941 15.7531 15.775 15.775 15.7898 15.8935 16.2842 16.3394 16.6194 16.6486 17.5723 17.8691 17.927 18.0659 18.0659 18.0659 18.1212 18.1212 18.1212 18.286 18.427 18.4429 18.5574 18.5574 18.5574 18.6309 19.0431 19.3954 20.9423 21.5264 22.1786 24.3443 25.5169 26.1419 26.4216 27.7287 28.0927 28.2868 29.9048 29.969 30.5266 30.8933 34.2085 34.2085 34.416 35.1579 37.2465 37.7019 37.7019 38.3208 41.8112 42.3112 42.4381 44.1261 46.4309 46.8352 46.8436 47.2274 47.5617 50.6703 51.5977 51.8641 52.8524 55.2654 55.3676 58.1888 59.9389 61.9201 62.5851 65.0089 71.3419 71.5695 74.361 76.5809 77.0777 79.9245 
5.32727 9.28398 10.404 10.6661 10.8491 10.9861 12.2989 16.1273 17.1846 17.5 17.5 17.6561 18.0003 18.0003 22.5409 25.8374 26.8172 27.2496 27.9162 28.3591 31.8304 31.9174 33.4817 33.9007 36.0726 37.2253 37.5588 37.5731 39.0901 41.5815 44.5353 45.5364 47.4724 47.7157 49.264 51.8757 53.2902 55.1909 55.4284 56.7598 60.1192 60.3411 60.8611 60.9177 62.2701 65.3305 66.1818 66.7407 67.3988 68.9488 69.0528 69.7919 70.3078 71.0392 71.0392 72.5799 73.7193 73.7193 74.9591 75.5658 76.8603 77.0924 78.8962 79.5947 79.6895 79.8455 80.8499 81.8461 82.6251 83.2149 85.0438 85.6698 86.2834 86.3268 86.6142 87.3306 87.9867 89.0121 89.3917 90.4685 91.7788 92.1074 92.6436 92.6484 92.814 93.112 93.5915 93.8455 93.8455 95.2431 96.5888 96.5888 98.7605 99.8739 100.448 100.662 101.337 102.321 102.56 102.891 103.618 103.645 105.174 105.821 106.321 106.321 106.321 106.358 106.358 106.358 106.521 107.465 107.465 111.292 111.604 
0 0 0 3.37002 4.47865 4.47865 6.24267 6.24267 6.24267 7.04033 7.55216 7.6176 7.93542 7.93542 7.93542 8.30501 8.30501 9.029 10.0935 10.4229 10.5183 10.754 10.8459 10.8813 11.2312 11.3607 11.4156 11.9436 12.0674 12.1545 12.1911 12.2334 12.5956 12.6312 12.8694 12.8694 13.1388 13.3566 13.4437 13.5179 13.738 13.989 14.0972 14.168 14.168 14.168 14.3782 14.7218 14.954 15.352 15.5633 15.8976 16.1472 16.6202 18.8455 20.2257 20.2759 20.2759 20.7032 20.8285 20.8285 21.2281 21.4079 22.5787 23.9122 23.999 24.8171 25.9307 26.4931 27.3245 28.3675 30.3076 31.1459 32.3833 32.9007 33.3532 33.6259 35.0756 35.1648 36.055 36.4971 39.8359 39.9399 39.9399 41.5327 42.594 43.5967 43.5967 44.1556 45.4161 47.695 49.1365 49.5521 52.0802 52.0919 52.1766 52.5197 53.0818 57.2805 57.5152 57.5474 58.2588 60.8314 61.3858 63.7418 65.1662 65.1894 67.613 68.2369 76.6029 76.6782 79.5325 81.8388 82.3382 85.2785 
