k auc f1
1 0.6970198675496688 0.5256410256410257
2 0.6875106130073018 0.5256410256410257
3 0.6799966038376634 0.5384615384615384
4 0.6969774155204619 0.5128205128205128
5 0.6981236203090507 0.5
6 0.7041093564272373 0.5
7 0.7039395483104093 0.5128205128205128
8 0.7036848361351672 0.5256410256410257
9 0.7004584819154356 0.5128205128205128
10 0.7044489726608931 0.5128205128205128
11 0.7029631516386483 0.5256410256410257
12 0.7038970962812023 0.5256410256410257
13 0.7038546442519953 0.5384615384615384
14 0.7052131091866191 0.5384615384615384
15 0.7055951774494821 0.5512820512820513
16 0.7030056036678554 0.5256410256410257
17 0.7025810833757853 0.5256410256410257
18 0.7032603158430973 0.5384615384615384
19 0.7066564781796569 0.5384615384615384
20 0.7082696552895229 0.5384615384615384
21 0.7087366276107998 0.5384615384615384
22 0.7107743250127356 0.5512820512820513
23 0.7100526405162167 0.5512820512820513
24 0.7091186958736627 0.5512820512820513
25 0.7092885039904907 0.5512820512820513
26 0.7096281202241467 0.5512820512820513
27 0.7087790796400067 0.5512820512820513
28 0.7090762438444558 0.5512820512820513
29 0.7092885039904908 0.5512820512820513
30 0.7106469689251147 0.5512820512820513
31 0.7097979283409747 0.5512820512820513
32 0.7100526405162166 0.5512820512820513
33 0.7101375445746306 0.5512820512820513
34 0.7125148582102223 0.5512820512820513
35 0.7119205298013245 0.5512820512820513
36 0.7080998471726948 0.5512820512820513
37 0.7081847512311089 0.5512820512820513
38 0.7100526405162166 0.5512820512820513
39 0.7093734080489047 0.5512820512820513
40 0.7093734080489047 0.5512820512820513
41 0.7104771608082866 0.5512820512820513
42 0.7106045168959076 0.5512820512820513
43 0.7108167770419426 0.5512820512820513
44 0.7108592290711496 0.5512820512820513
45 0.7102224486330446 0.5512820512820513
46 0.7119205298013245 0.5512820512820513
47 0.7131940906775344 0.5641025641025641
48 0.7135337069111903 0.5512820512820513
49 0.7133638987943623 0.5512820512820513
50 0.7123450500933944 0.5512820512820513
51 0.7110290371879776 0.5512820512820513
52 0.7103922567498726 0.5512820512820513
53 0.7109441331295636 0.5512820512820513
54 0.7091611479028698 0.5512820512820513
55 0.7094583121073188 0.5512820512820513
56 0.7074630667345899 0.5512820512820513
57 0.7056800815078961 0.5512820512820513
58 0.7020716590253014 0.5512820512820513
59 0.7022414671421294 0.5512820512820513
60 0.7019867549668874 0.5512820512820513
61 0.7012226184411614 0.5512820512820513
62 0.7015622346748175 0.5512820512820513
63 0.7024961793173714 0.5512820512820513
64 0.7020292069960945 0.5512820512820513
65 0.7027508914926134 0.5512820512820513
66 0.7022414671421293 0.5512820512820513
67 0.7007980981490916 0.5512820512820513
68 0.6999066055357446 0.5512820512820513
69 0.6998641535065376 0.5512820512820513
70 0.6998641535065376 0.5512820512820513
71 0.6991849210392257 0.5512820512820513
72 0.6988453048055697 0.5512820512820513
73 0.6974868398709457 0.5512820512820513
74 0.6967651553744268 0.5512820512820513
75 0.6974019358125318 0.5512820512820513
76 0.6966377992868059 0.5512820512820513
77 0.6985056885719136 0.5512820512820513
78 0.6980811682798438 0.5512820512820513
79 0.6986754966887417 0.5512820512820513
80 0.6985905926303277 0.5512820512820513
81 0.6984207845134998 0.5512820512820513
82 0.697232127695704 0.5512820512820513
83 0.6980811682798438 0.5512820512820513
84 0.6965528952283919 0.5512820512820513
85 0.6962981830531499 0.5512820512820513
86 0.6965953472575989 0.5512820512820513
87 0.6966377992868059 0.5512820512820513
88 0.6963406350823569 0.5512820512820513
89 0.696213278994736 0.5512820512820513
90 0.695958566819494 0.5512820512820513
91 0.695703854644252 0.5384615384615384
92 0.695788758702666 0.5384615384615384
93 0.6932416369502462 0.5384615384615384
94 0.6950246221769402 0.5384615384615384
95 0.6934114450670742 0.5384615384615384
96 0.6881473934454067 0.5384615384615384
97 0.6870436406860247 0.5384615384615384
98 0.6872559008320598 0.5384615384615384
99 0.6881473934454067 0.5384615384615384
100 0.683732382407879 0.5384615384615384
101 0.6833927661742231 0.5384615384615384
102 0.6823739174732553 0.5384615384615384
103 0.6828408897945321 0.5384615384615384
104 0.6811003565970453 0.5384615384615384
105 0.6802513160129054 0.5384615384615384
106 0.6812701647138734 0.5384615384615384
107 0.6826286296484971 0.5384615384615384
108 0.6813550687722872 0.5384615384615384
109 0.6808456444218034 0.5384615384615384
110 0.6762608252674478 0.5384615384615384
111 0.6752419765664799 0.5384615384615384
112 0.6759636610629988 0.5384615384615384
113 0.6709967736457801 0.5384615384615384
114 0.6703599932076754 0.5384615384615384
115 0.6717609101715062 0.5384615384615384
116 0.6709967736457803 0.5384615384615384
117 0.6704448972660892 0.5384615384615384
118 0.6710392256749873 0.5384615384615384
119 0.6703599932076754 0.5384615384615384
120 0.6666242146374597 0.5384615384615384
121 0.6646289692647308 0.5384615384615384
122 0.6642044489726608 0.5384615384615384
123 0.662930888096451 0.5384615384615384
124 0.6559687553065037 0.5384615384615384
125 0.6554593309560197 0.5384615384615384
126 0.6547800984887078 0.5384615384615384
127 0.6498981151299031 0.5384615384615384
128 0.6482000339616233 0.5384615384615384
129 0.6476057055527255 0.5384615384615384
130 0.6483273900492443 0.5384615384615384
131 0.6475208014943115 0.5384615384615384
132 0.6427237221939209 0.5512820512820513
133 0.6403888605875361 0.5512820512820513
134 0.6400492443538801 0.5512820512820513
135 0.6399218882662592 0.5512820512820513
136 0.641365257259297 0.5512820512820513
137 0.6406860247919851 0.5512820512820513
138 0.641535065376125 0.5512820512820513
139 0.6403464085583291 0.5512820512820513
140 0.6364408218712855 0.5512820512820513
141 0.6254032942774664 0.5512820512820513
142 0.6271862795041603 0.5512820512820513
143 0.6277806079130582 0.5512820512820513
144 0.6246816097809476 0.5512820512820513
145 0.620563762947869 0.5512820512820513
146 0.6175496688741722 0.5512820512820513
147 0.6182713533706911 0.5512820512820513
148 0.6131771098658516 0.5512820512820513
149 0.6038801154695195 0.5512820512820513
150 0.6022244863304467 0.5512820512820513
151 0.6049414161996943 0.5384615384615384
152 0.6023093903888606 0.5384615384615384
153 0.6008660213958227 0.5384615384615384
154 0.5996773645780268 0.5384615384615384
155 0.5929699439633215 0.5
156 0.5926303277296655 0.5
157 0.5900407539480387 0.5
158 0.5895737816267618 0.5
159 0.5860078111733741 0.5
160 0.5861351672609951 0.5
161 0.5849889624724062 0.5
162 0.5808286636101205 0.48717948717948717
163 0.5745457632874851 0.47435897435897434
164 0.5717014773306164 0.47435897435897434
165 0.5605365936491764 0.4358974358974359
166 0.5568008150789607 0.4230769230769231
167 0.5549329257938529 0.4230769230769231
168 0.5535744608592291 0.4230769230769231
169 0.5513245033112583 0.4230769230769231
170 0.5483528612667686 0.4358974358974359
171 0.544107658346069 0.41025641025641024
172 0.5445746306673458 0.4230769230769231
173 0.5382492783155035 0.41025641025641024
174 0.5359144167091187 0.41025641025641024
175 0.5258532857870607 0.38461538461538464
176 0.5231788079470199 0.38461538461538464
177 0.5132874851417898 0.38461538461538464
178 0.510952623535405 0.37179487179487186
179 0.510443199184921 0.37179487179487186
180 0.5011037527593819 0.358974358974359
181 0.49940567159110205 0.37179487179487186
182 0.4975377823059942 0.37179487179487186
183 0.49184921039225676 0.358974358974359
184 0.4918492103922567 0.358974358974359
185 0.49023603328239096 0.358974358974359
186 0.48357106469689254 0.358974358974359
187 0.47435897435897434 0.3333333333333333
188 0.4725759891322805 0.3333333333333333
189 0.47151468840210564 0.3333333333333333
190 0.467439293598234 0.3333333333333333
191 0.4592885039904907 0.32051282051282054
192 0.44727457972491086 0.2948717948717949
193 0.4450670742061471 0.2948717948717949
194 0.44515197826456104 0.3076923076923077
195 0.44294447274579724 0.3076923076923077
196 0.4406520631686195 0.3076923076923077
197 0.4359823399558499 0.3076923076923077
198 0.4299541518084564 0.3076923076923077
199 0.41887417218543044 0.3076923076923077
200 0.41263372389200204 0.2948717948717949
201 0.4117422312786551 0.3076923076923077
202 0.40741212429954154 0.2948717948717949
203 0.4081338087960605 0.2948717948717949
204 0.40753948038716253 0.2948717948717949
205 0.4066055357446086 0.28205128205128205
206 0.3984547461368653 0.2564102564102564
207 0.40091696383087105 0.2692307692307692
208 0.4012990320937341 0.2692307692307692
209 0.39072847682119205 0.2692307692307692
210 0.3938699269825098 0.2692307692307692
211 0.35838003056546097 0.21794871794871795
212 0.35579045678383425 0.20512820512820512
213 0.3664034640855833 0.21794871794871795
214 0.36024791985056887 0.23076923076923078
215 0.36793173713703514 0.23076923076923078
216 0.3548140601120734 0.21794871794871795
217 0.3534555951774495 0.21794871794871795
218 0.34156902699949054 0.15384615384615385
219 0.358974358974359 0.21794871794871795
220 0.36462047885888943 0.19230769230769232
221 0.4281287145525556 0.23076923076923078
222 0.3759127186279504 0.20512820512820512
223 0.36487519103413146 0.23076923076923078
224 0.37285617252504666 0.20512820512820512
225 0.37990320937340805 0.24358974358974358
226 0.3200458481915435 0.1794871794871795
227 0.3066734589913398 0.16666666666666666
228 0.3166921378841908 0.16666666666666666
229 0.4966887417218543 0.2564102564102564
Best-K=48 0.7135337069111903 0.5512820512820513 

k auc f1
1 0.6970198675496688 0.5256410256410257
2 0.6875106130073018 0.5256410256410257
3 0.6799966038376634 0.5384615384615384
4 0.6969774155204619 0.5128205128205128
5 0.6981236203090507 0.5
6 0.7041093564272373 0.5
7 0.7039395483104093 0.5128205128205128
8 0.7036848361351672 0.5256410256410257
9 0.7004584819154356 0.5128205128205128
10 0.7044489726608931 0.5128205128205128
11 0.7029631516386483 0.5256410256410257
12 0.7038970962812023 0.5256410256410257
13 0.7038546442519953 0.5384615384615384
14 0.7052131091866191 0.5384615384615384
15 0.7055951774494821 0.5512820512820513
16 0.7030056036678554 0.5256410256410257
17 0.7025810833757853 0.5256410256410257
18 0.7032603158430973 0.5384615384615384
19 0.7066564781796569 0.5384615384615384
20 0.7082696552895229 0.5384615384615384
21 0.7087366276107998 0.5384615384615384
22 0.7107743250127356 0.5512820512820513
23 0.7100526405162167 0.5512820512820513
24 0.7091186958736627 0.5512820512820513
25 0.7092885039904907 0.5512820512820513
26 0.7096281202241467 0.5512820512820513
27 0.7087790796400067 0.5512820512820513
28 0.7090762438444558 0.5512820512820513
29 0.7092885039904908 0.5512820512820513
30 0.7106469689251147 0.5512820512820513
31 0.7097979283409747 0.5512820512820513
32 0.7100526405162166 0.5512820512820513
33 0.7101375445746306 0.5512820512820513
34 0.7125148582102223 0.5512820512820513
35 0.7119205298013245 0.5512820512820513
36 0.7080998471726948 0.5512820512820513
37 0.7081847512311089 0.5512820512820513
38 0.7100526405162166 0.5512820512820513
39 0.7093734080489047 0.5512820512820513
40 0.7093734080489047 0.5512820512820513
41 0.7104771608082866 0.5512820512820513
42 0.7106045168959076 0.5512820512820513
43 0.7108167770419426 0.5512820512820513
44 0.7108592290711496 0.5512820512820513
45 0.7102224486330446 0.5512820512820513
46 0.7119205298013245 0.5512820512820513
47 0.7131940906775344 0.5641025641025641
48 0.7135337069111903 0.5512820512820513
49 0.7133638987943623 0.5512820512820513
50 0.7123450500933944 0.5512820512820513
51 0.7110290371879776 0.5512820512820513
52 0.7103922567498726 0.5512820512820513
53 0.7109441331295636 0.5512820512820513
54 0.7091611479028698 0.5512820512820513
55 0.7094583121073188 0.5512820512820513
56 0.7074630667345899 0.5512820512820513
57 0.7056800815078961 0.5512820512820513
58 0.7020716590253014 0.5512820512820513
59 0.7022414671421294 0.5512820512820513
60 0.7019867549668874 0.5512820512820513
61 0.7012226184411614 0.5512820512820513
62 0.7015622346748175 0.5512820512820513
63 0.7024961793173714 0.5512820512820513
64 0.7020292069960945 0.5512820512820513
65 0.7027508914926134 0.5512820512820513
66 0.7022414671421293 0.5512820512820513
67 0.7007980981490916 0.5512820512820513
68 0.6999066055357446 0.5512820512820513
69 0.6998641535065376 0.5512820512820513
70 0.6998641535065376 0.5512820512820513
71 0.6991849210392257 0.5512820512820513
72 0.6988453048055697 0.5512820512820513
73 0.6974868398709457 0.5512820512820513
74 0.6967651553744268 0.5512820512820513
75 0.6974019358125318 0.5512820512820513
76 0.6966377992868059 0.5512820512820513
77 0.6985056885719136 0.5512820512820513
78 0.6980811682798438 0.5512820512820513
79 0.6986754966887417 0.5512820512820513
80 0.6985905926303277 0.5512820512820513
81 0.6984207845134998 0.5512820512820513
82 0.697232127695704 0.5512820512820513
83 0.6980811682798438 0.5512820512820513
84 0.6965528952283919 0.5512820512820513
85 0.6962981830531499 0.5512820512820513
86 0.6965953472575989 0.5512820512820513
87 0.6966377992868059 0.5512820512820513
88 0.6963406350823569 0.5512820512820513
89 0.696213278994736 0.5512820512820513
90 0.695958566819494 0.5512820512820513
91 0.695703854644252 0.5384615384615384
92 0.695788758702666 0.5384615384615384
93 0.6932416369502462 0.5384615384615384
94 0.6950246221769402 0.5384615384615384
95 0.6934114450670742 0.5384615384615384
96 0.6881473934454067 0.5384615384615384
97 0.6870436406860247 0.5384615384615384
98 0.6872559008320598 0.5384615384615384
99 0.6881473934454067 0.5384615384615384
100 0.683732382407879 0.5384615384615384
101 0.6833927661742231 0.5384615384615384
102 0.6823739174732553 0.5384615384615384
103 0.6828408897945321 0.5384615384615384
104 0.6811003565970453 0.5384615384615384
105 0.6802513160129054 0.5384615384615384
106 0.6812701647138734 0.5384615384615384
107 0.6826286296484971 0.5384615384615384
108 0.6813550687722872 0.5384615384615384
109 0.6808456444218034 0.5384615384615384
110 0.6762608252674478 0.5384615384615384
111 0.6752419765664799 0.5384615384615384
112 0.6759636610629988 0.5384615384615384
113 0.6709967736457801 0.5384615384615384
114 0.6703599932076754 0.5384615384615384
115 0.6717609101715062 0.5384615384615384
Best-K=48 0.7135337069111903 0.5512820512820513 

