k auc f1
--------------------run1-----------------
1 0.47508065885549333 0.358974358974359
2 0.5595177449482085 0.4358974358974359
3 0.6058753608422482 0.4358974358974359
4 0.6451859398879267 0.5
5 0.6753693326541008 0.5128205128205128
6 0.6898030225844796 0.5256410256410257
7 0.6931991849210392 0.5
8 0.6934538970962811 0.48717948717948717
9 0.6854729156053659 0.48717948717948717
10 0.6898879266428934 0.47435897435897434
11 0.6878926812701648 0.48717948717948717
12 0.6875955170657156 0.5
13 0.6861521480726779 0.5128205128205128
14 0.6808880964510103 0.5
15 0.6755391407709288 0.48717948717948717
16 0.6711241297334012 0.47435897435897434
17 0.674265579894719 0.5
18 0.6820767532688062 0.5
19 0.6852182034301239 0.48717948717948717
20 0.6725674987264391 0.48717948717948717
21 0.6746051961283749 0.5
22 0.6771098658515877 0.48717948717948717
23 0.6664119544914248 0.48717948717948717
24 0.6643318050602819 0.47435897435897434
25 0.6581762608252675 0.46153846153846156
26 0.6574545763287485 0.46153846153846156
27 0.663482764476142 0.48717948717948717
28 0.6653082017320429 0.47435897435897434
29 0.6581762608252675 0.4358974358974359
30 0.6566479877738156 0.4358974358974359
31 0.6529971132620138 0.44871794871794873
32 0.6504499915095941 0.4358974358974359
33 0.6513414841229411 0.46153846153846156
34 0.6555017829852267 0.48717948717948717
35 0.6543555781966378 0.47435897435897434
36 0.6508745118016641 0.48717948717948717
37 0.652105620648667 0.46153846153846156
38 0.6513839361521482 0.4358974358974359
39 0.6576243844455766 0.4358974358974359
40 0.6604262183732382 0.47435897435897434
41 0.6574970283579554 0.44871794871794873
42 0.6614875191034132 0.44871794871794873
43 0.6591102054678213 0.46153846153846156
44 0.6604262183732381 0.44871794871794873
45 0.6585583290881304 0.46153846153846156
46 0.6642044489726608 0.46153846153846156
47 0.6583885209713024 0.46153846153846156
48 0.6654780098488707 0.47435897435897434
49 0.6616997792494481 0.47435897435897434
50 0.6588979453217864 0.46153846153846156
51 0.652232976736288 0.4230769230769231
52 0.64132280523009 0.4230769230769231
53 0.6368653421633554 0.3974358974358974
54 0.6250212260146035 0.3974358974358974
55 0.6214128035320089 0.3974358974358974
56 0.6181439972830701 0.3974358974358974
57 0.6169128884360672 0.41025641025641024
58 0.6158091356766854 0.4230769230769231
59 0.6169977924944813 0.41025641025641024
60 0.6148751910341314 0.38461538461538464
61 0.6054508405501783 0.37179487179487186
62 0.6113941246391578 0.37179487179487186
63 0.6165308201732043 0.3974358974358974
64 0.6101630157921549 0.3974358974358974
65 0.6105026320258108 0.38461538461538464
66 0.5993802003735778 0.37179487179487186
67 0.5921633554083885 0.38461538461538464
68 0.5949227373068433 0.38461538461538464
69 0.5958142299201902 0.3974358974358974
70 0.5916539310579045 0.3974358974358974
71 0.5903803701816946 0.37179487179487186
72 0.5920784513499745 0.358974358974359
73 0.5849040584139922 0.358974358974359
74 0.5772202411275259 0.358974358974359
75 0.5662676175921209 0.358974358974359
76 0.565248768891153 0.358974358974359
77 0.5623195788758703 0.358974358974359
78 0.5626167430803193 0.37179487179487186
79 0.5584139921888266 0.37179487179487186
80 0.5596875530650365 0.38461538461538464
81 0.5577347597215147 0.37179487179487186
82 0.5578621158091357 0.37179487179487186
83 0.5501358464934624 0.358974358974359
84 0.5411360163015793 0.358974358974359
85 0.5400747155714044 0.358974358974359
86 0.5369757174392936 0.37179487179487186
87 0.5360842248259466 0.37179487179487186
88 0.5335795551027339 0.358974358974359
89 0.5307777211750722 0.358974358974359
90 0.5211835625742911 0.358974358974359
91 0.5200798098149091 0.358974358974359
92 0.520504330106979 0.37179487179487186
93 0.5198675496688742 0.37179487179487186
94 0.521565630837154 0.37179487179487186
95 0.5189760570555273 0.37179487179487186
96 0.5156647987773815 0.37179487179487186
97 0.5124808965868568 0.37179487179487186
98 0.5132025810833758 0.37179487179487186
99 0.5055187637969094 0.37179487179487186
100 0.5040329427746646 0.358974358974359
101 0.49821701477330615 0.358974358974359
102 0.49639157751740537 0.37179487179487186
103 0.4826795720835456 0.37179487179487186
104 0.479113601630158 0.37179487179487186
105 0.4739344540669044 0.358974358974359
106 0.4738070979792834 0.358974358974359
107 0.4715571404313126 0.358974358974359
108 0.4637459670572253 0.358974358974359
109 0.4685005943284089 0.358974358974359
110 0.45763287485141785 0.358974358974359
111 0.4590337918152488 0.358974358974359
112 0.45712345050093395 0.358974358974359
113 0.45618950585838003 0.358974358974359
114 0.46353370691119034 0.37179487179487186
115 0.4655714043131261 0.38461538461538464
116 0.46922227882492784 0.37179487179487186
117 0.4711326201392427 0.38461538461538464
118 0.47542027508914925 0.34615384615384615
119 0.47775513669553404 0.3333333333333333
120 0.4837408728137205 0.34615384615384615
121 0.4865851587705893 0.358974358974359
122 0.48679741891662415 0.358974358974359
123 0.49600950925454235 0.37179487179487186
124 0.5054338597384955 0.37179487179487186
125 0.5092969943963321 0.41025641025641024
126 0.5072592969943963 0.41025641025641024
127 0.5055612158261165 0.41025641025641024
128 0.5079809814909152 0.4230769230769231
129 0.5049668874172186 0.3974358974358974
130 0.5092969943963321 0.3974358974358974
131 0.5079385294617083 0.3974358974358974
132 0.512098828323994 0.41025641025641024
133 0.5163015792154866 0.4358974358974359
134 0.5160468670402445 0.4230769230769231
135 0.5128629648497198 0.4230769230769231
136 0.5132874851417898 0.3974358974358974
137 0.5141365257259297 0.38461538461538464
138 0.5139242655798948 0.41025641025641024
139 0.5141789777551367 0.41025641025641024
140 0.5138818135506877 0.41025641025641024
141 0.5138818135506877 0.4230769230769231
142 0.5093394464255392 0.41025641025641024
143 0.5084479538121922 0.4230769230769231
144 0.5067074206147054 0.41025641025641024
145 0.5051791475632535 0.41025641025641024
146 0.5080234335201222 0.4230769230769231
147 0.5017405331974869 0.4358974358974359
148 0.5001273560876209 0.4230769230769231
149 0.4879860757344201 0.3974358974358974
150 0.4870096790626592 0.3974358974358974
151 0.4842078451349974 0.38461538461538464
152 0.4797503820682628 0.38461538461538464
153 0.477882492783155 0.38461538461538464
154 0.47669383596535914 0.38461538461538464
155 0.47401935812531837 0.37179487179487186
156 0.47792494481236203 0.37179487179487186
157 0.4758447953812192 0.38461538461538464
158 0.4795381219222279 0.38461538461538464
159 0.47418916624214635 0.37179487179487186
160 0.47537782305994225 0.37179487179487186
161 0.47427407030056035 0.358974358974359
162 0.4752504669723212 0.358974358974359
163 0.4711750721684496 0.34615384615384615
164 0.4680760740363389 0.34615384615384615
165 0.46722703345219896 0.358974358974359
166 0.4600526405162167 0.358974358974359
167 0.45771777890983184 0.358974358974359
168 0.4642129393785023 0.34615384615384615
169 0.46968925114620474 0.358974358974359
170 0.4639582272032603 0.37179487179487186
171 0.45958566819493973 0.37179487179487186
172 0.45618950585838003 0.358974358974359
173 0.45640176600441507 0.37179487179487186
174 0.4505858380030565 0.37179487179487186
175 0.4541942604856512 0.37179487179487186
176 0.45228391917133637 0.37179487179487186
177 0.4533876719307182 0.358974358974359
178 0.44888775683477666 0.358974358974359
179 0.44404822550517914 0.358974358974359
180 0.44383596535914416 0.358974358974359
181 0.45372728816437424 0.358974358974359
182 0.45525556121582617 0.358974358974359
183 0.456444218033622 0.34615384615384615
184 0.4627271183562574 0.34615384615384615
185 0.4656987604007471 0.34615384615384615
186 0.46922227882492784 0.34615384615384615
187 0.47041093564272374 0.3333333333333333
188 0.47261844116148755 0.32051282051282054
189 0.47520801494311427 0.32051282051282054
190 0.4687128544744438 0.3076923076923077
191 0.46816097809475293 0.2948717948717949
192 0.47206656478179654 0.32051282051282054
193 0.47563253523518423 0.3076923076923077
194 0.4743589743589744 0.3076923076923077
195 0.4710477160808286 0.3076923076923077
196 0.4694345389709628 0.3076923076923077
197 0.46968925114620474 0.2948717948717949
198 0.4688826625912718 0.2948717948717949
199 0.4655289522839191 0.2948717948717949
200 0.46332144676515535 0.2948717948717949
201 0.46391577517405336 0.3076923076923077
202 0.4631516386483274 0.3076923076923077
203 0.456274409916794 0.3076923076923077
204 0.45347257598913226 0.3076923076923077
205 0.44969434538970965 0.3076923076923077
206 0.4471896756664968 0.3076923076923077
207 0.44290202071659024 0.32051282051282054
208 0.43776532518254374 0.32051282051282054
209 0.43080319239259635 0.3076923076923077
210 0.423671251485821 0.2948717948717949
211 0.42494481236203085 0.2948717948717949
212 0.42812871455255563 0.3076923076923077
213 0.4265155374426898 0.3076923076923077
214 0.42227033452199014 0.2948717948717949
215 0.41250636780438105 0.28205128205128205
216 0.40257259296994397 0.28205128205128205
217 0.41301579215486495 0.2948717948717949
218 0.4080913567668534 0.28205128205128205
219 0.4144591611479029 0.28205128205128205
220 0.4035914416709119 0.2948717948717949
221 0.3982424859908304 0.28205128205128205
222 0.3888605875360842 0.28205128205128205
