1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 
0.199694 0.502183 0.51083 0.524934 0.55214 0.565502 0.56738 0.56738 0.573013 0.574891 0.579738 0.583712 0.58441 0.590087 0.595109 0.599563 0.607642 0.609432 0.61048 0.612969 0.626812 0.633755 0.633974 0.634541 0.6369 0.6369 0.641004 0.641223 0.642009 0.652009 0.660393 0.664061 0.665983 0.666638 0.667642 0.668297 0.669738 0.675633 0.680524 0.681004 0.68131 0.681616 0.681616 0.682751 0.687118 0.688646 0.688646 0.697162 0.697991 0.699039 0.705415 0.705546 0.705721 0.708384 0.71214 0.713799 0.714891 0.71559 0.71559 0.717249 0.718515 0.723581 0.723581 0.723581 0.723581 0.723886 0.724672 0.725677 0.729301 0.730655 0.732882 0.735459 0.738035 0.738035 0.740873 0.741659 0.742358 0.74262 0.743275 0.743275 0.74524 0.747249 0.747598 0.748515 0.748865 0.748996 0.749127 0.749389 0.750873 0.752795 0.755852 0.756245 0.759083 0.760218 0.760699 0.761223 0.762795 0.762969 0.765764 0.765808 0.766245 0.769083 0.770611 0.771397 0.771485 0.773406 0.775328 0.776288 0.776638 0.776638 0.779214 0.779301 0.780393 0.781048 0.782271 
0.334061 0.334061 0.42 0.427598 0.436288 0.436288 0.436507 0.441528 0.443144 0.443144 0.447118 0.449956 0.455197 0.458603 0.462227 0.473144 0.475459 0.480262 0.480262 0.482838 0.483319 0.483319 0.489432 0.489432 0.489432 0.489432 0.529214 0.529214 0.529214 0.539651 0.542751 0.542751 0.542751 0.543188 0.543668 0.547118 0.547642 0.559389 0.561878 0.567598 0.572533 0.572533 0.57821 0.580568 0.586987 0.588472 0.597686 0.597773 0.599039 0.611572 0.617511 0.625415 0.633362 0.638821 0.644978 0.646463 0.649301 0.650961 0.656856 0.657293 0.657729 0.658253 0.662795 0.677773 0.678122 0.680131 0.682576 0.682576 0.688996 0.693974 0.69476 0.700742 0.703755 0.705546 0.708559 0.70952 0.713319 0.714279 0.715109 0.715459 0.715808 0.719782 0.72048 0.720786 0.721616 0.721659 0.723319 0.723319 0.723581 0.723668 0.724672 0.724716 0.725983 0.726201 0.726943 0.727511 0.730437 0.730568 0.731179 0.731747 0.732445 0.735284 0.736245 0.737642 0.738035 0.738428 0.738646 0.739039 0.74048 0.741004 0.741485 0.74179 0.74179 0.74179 0.742838 
0.239083 0.443013 0.480786 0.48524 0.504279 0.519127 0.519913 0.528559 0.53048 0.535066 0.540262 0.540306 0.544236 0.545197 0.547424 0.55 0.552314 0.560611 0.561965 0.564061 0.566725 0.567205 0.575677 0.58214 0.585502 0.587293 0.590218 0.592402 0.598079 0.599607 0.609127 0.609694 0.612271 0.613843 0.621528 0.627074 0.627511 0.628821 0.630524 0.630873 0.631965 0.637817 0.644236 0.648166 0.648297 0.65048 0.657467 0.658341 0.659782 0.660786 0.660961 0.663624 0.663624 0.665284 0.667074 0.671354 0.671921 0.672009 0.672795 0.673624 0.675459 0.675808 0.67655 0.676812 0.681354 0.681528 0.690786 0.693057 0.69655 0.69786 0.702314 0.704367 0.704934 0.706594 0.711223 0.711354 0.715721 0.717511 0.718777 0.719694 0.719782 0.723319 0.724498 0.726594 0.727686 0.728908 0.730655 0.731135 0.735459 0.736026 0.736026 0.737031 0.737598 0.73786 0.74083 0.741223 0.741266 0.741878 0.742271 0.743013 0.743493 0.745066 0.746114 0.746114 0.746157 0.746332 0.746332 0.747031 0.747031 0.747598 0.748035 0.748384 0.748908 0.749738 0.750175 
0.231965 0.399389 0.524934 0.533974 0.540044 0.540655 0.541703 0.545677 0.548079 0.548515 0.554367 0.558472 0.563319 0.567991 0.568253 0.568559 0.57048 0.572795 0.57476 0.577162 0.580873 0.58524 0.585459 0.591092 0.592926 0.599127 0.599389 0.603493 0.612489 0.624672 0.631092 0.63345 0.643275 0.643275 0.643493 0.644978 0.644978 0.645983 0.645983 0.647729 0.65048 0.65048 0.650568 0.651485 0.65179 0.653624 0.654978 0.654978 0.658035 0.658428 0.659825 0.662533 0.665284 0.667031 0.668341 0.670306 0.673057 0.675808 0.677511 0.677686 0.677686 0.679083 0.682314 0.682314 0.682314 0.682314 0.682358 0.689651 0.690306 0.691878 0.692882 0.694847 0.694847 0.697031 0.700655 0.701572 0.701878 0.701965 0.703668 0.707031 0.707205 0.711397 0.712227 0.724017 0.724541 0.72607 0.729782 0.730131 0.731135 0.733013 0.734672 0.734891 0.739214 0.739607 0.740349 0.744367 0.747162 0.747249 0.747249 0.747511 0.747991 0.748908 0.749956 0.751004 0.752271 0.754017 0.754498 0.75524 0.757467 0.758253 0.759956 0.760961 0.761004 0.761659 0.761747 
0.249563 0.407948 0.448253 0.51655 0.522751 0.535153 0.539607 0.545939 0.546812 0.550087 0.553755 0.555197 0.556463 0.56 0.562009 0.564367 0.56476 0.569782 0.572969 0.573712 0.574017 0.578559 0.580262 0.58607 0.589607 0.590087 0.590742 0.598996 0.600611 0.60345 0.60607 0.608122 0.609039 0.612489 0.615895 0.617249 0.619694 0.622402 0.624061 0.626987 0.631485 0.631485 0.636507 0.638865 0.63917 0.643231 0.643275 0.645371 0.652533 0.653799 0.658865 0.662882 0.664192 0.665153 0.665895 0.666856 0.675415 0.675415 0.680961 0.684978 0.688865 0.689476 0.69048 0.693581 0.694192 0.694541 0.694891 0.694891 0.695721 0.699694 0.700873 0.701004 0.701004 0.701004 0.701004 0.703712 0.703712 0.704105 0.708646 0.712926 0.71393 0.714061 0.715284 0.716332 0.7169 0.717249 0.717948 0.72131 0.72131 0.721485 0.724061 0.724236 0.724279 0.724367 0.724367 0.724934 0.724934 0.725328 0.725502 0.725852 0.727817 0.729083 0.73083 0.730917 0.731921 0.732052 0.733624 0.736638 0.738253 0.738253 0.738341 0.740873 0.741004 0.741004 0.74524 
0.353624 0.483843 0.529651 0.543712 0.544541 0.551921 0.552926 0.553362 0.571354 0.575677 0.57821 0.586201 0.598428 0.59869 0.598734 0.599039 0.604279 0.61345 0.614716 0.616332 0.616419 0.617118 0.618646 0.620044 0.621092 0.621266 0.62607 0.626201 0.633755 0.634629 0.636638 0.637031 0.639083 0.640306 0.641703 0.644061 0.644279 0.645371 0.645459 0.645633 0.64869 0.649039 0.649258 0.651266 0.652096 0.654367 0.655939 0.656376 0.656725 0.656987 0.657118 0.658079 0.664279 0.666419 0.666594 0.666594 0.666856 0.667336 0.668166 0.670044 0.670306 0.673231 0.673493 0.673624 0.673755 0.673799 0.675808 0.675808 0.675808 0.676288 0.678122 0.678777 0.679694 0.679782 0.679782 0.679782 0.680349 0.682751 0.682926 0.6831 0.683755 0.684585 0.684585 0.685109 0.685983 0.689127 0.690087 0.690873 0.691485 0.692576 0.694279 0.695109 0.695983 0.696594 0.697991 0.698646 0.698734 0.699039 0.699039 0.69952 0.701223 0.701223 0.702096 0.702096 0.703712 0.704891 0.706856 0.707991 0.708515 0.708559 0.70917 0.709738 0.713624 0.718515 0.720044 
0.284367 0.357991 0.392489 0.406245 0.421397 0.434323 0.448821 0.450873 0.459651 0.46607 0.483624 0.493231 0.494454 0.500306 0.504279 0.506376 0.512271 0.521441 0.543319 0.547598 0.555808 0.556463 0.562533 0.567991 0.568908 0.571659 0.573712 0.573843 0.574148 0.57869 0.582969 0.594323 0.597162 0.599214 0.600611 0.601528 0.607205 0.609127 0.609825 0.610393 0.610437 0.61048 0.612751 0.613581 0.614672 0.619432 0.622052 0.622052 0.626201 0.626856 0.628472 0.629083 0.629083 0.631528 0.635808 0.635808 0.643537 0.643537 0.645459 0.645459 0.646288 0.650568 0.651354 0.652227 0.652489 0.652751 0.652882 0.652969 0.660262 0.663843 0.667904 0.669389 0.670655 0.671354 0.671354 0.672664 0.677511 0.680393 0.685415 0.687162 0.687511 0.689607 0.69345 0.70179 0.703755 0.703755 0.705764 0.705764 0.706419 0.707031 0.709389 0.709869 0.71131 0.714629 0.716114 0.716856 0.721004 0.722009 0.72214 0.722751 0.724192 0.724192 0.724192 0.724192 0.729607 0.73048 0.737205 0.737205 0.738646 0.7431 0.74345 0.744148 0.745371 0.745939 0.74917 
0.407904 0.407904 0.407904 0.421441 0.421441 0.421441 0.437162 0.445546 0.451878 0.451878 0.457293 0.477031 0.477773 0.483843 0.492926 0.507031 0.514585 0.520961 0.529214 0.529214 0.532576 0.534498 0.543406 0.54786 0.54786 0.550655 0.550961 0.553799 0.562445 0.563231 0.563843 0.573668 0.575459 0.578079 0.578079 0.578079 0.578079 0.578253 0.580349 0.580349 0.582838 0.583406 0.583406 0.587817 0.606769 0.606769 0.608297 0.61345 0.61345 0.625066 0.625633 0.626288 0.627205 0.628122 0.628777 0.633974 0.636987 0.637205 0.637205 0.637467 0.639083 0.639389 0.639869 0.641834 0.644105 0.64476 0.644803 0.645633 0.646201 0.647904 0.650087 0.652314 0.652445 0.653362 0.653712 0.654498 0.654629 0.657205 0.657336 0.657336 0.657336 0.658166 0.658384 0.659563 0.662926 0.663013 0.664367 0.664367 0.665764 0.666288 0.667249 0.66786 0.669389 0.669694 0.669782 0.673362 0.674891 0.676157 0.679782 0.683231 0.69262 0.693537 0.694978 0.698996 0.698996 0.703406 0.704061 0.705153 0.705197 0.705459 0.707424 0.707555 0.707686 0.708341 0.708908 
0.376419 0.473057 0.473362 0.473624 0.476332 0.48869 0.488777 0.49345 0.493624 0.495895 0.496507 0.502096 0.50393 0.510131 0.511179 0.512445 0.51869 0.519651 0.524105 0.524105 0.525153 0.527205 0.529869 0.531004 0.532183 0.538122 0.540524 0.544279 0.548559 0.55786 0.559258 0.562533 0.56262 0.57179 0.573974 0.576332 0.577991 0.582533 0.582882 0.59083 0.592271 0.597336 0.597948 0.611092 0.611921 0.612402 0.613624 0.624498 0.627205 0.627249 0.628996 0.634978 0.638428 0.641092 0.643974 0.645677 0.648166 0.65179 0.653231 0.6569 0.659738 0.661485 0.662751 0.667467 0.66786 0.672751 0.673231 0.673493 0.673668 0.674236 0.674716 0.676288 0.676376 0.6769 0.678297 0.682402 0.682707 0.684061 0.684192 0.684891 0.686288 0.686987 0.687205 0.687642 0.688996 0.689694 0.691485 0.693886 0.693886 0.695764 0.695808 0.696507 0.696725 0.696987 0.697773 0.701179 0.701441 0.701572 0.702009 0.702009 0.702314 0.702751 0.703799 0.705022 0.705153 0.706026 0.706157 0.706157 0.706157 0.706157 0.707249 0.708428 0.708646 0.709345 0.709607 
0.352009 0.352009 0.352009 0.352009 0.420262 0.453581 0.485197 0.485371 0.48821 0.489432 0.489432 0.493013 0.497729 0.497729 0.497948 0.499301 0.500306 0.510437 0.510786 0.531572 0.53262 0.53262 0.536594 0.536594 0.539651 0.539651 0.543581 0.543581 0.547948 0.558865 0.563144 0.565546 0.566856 0.566856 0.566856 0.568996 0.57393 0.577118 0.578079 0.578079 0.578079 0.579127 0.581179 0.583799 0.592926 0.593668 0.596769 0.604934 0.614105 0.627729 0.636332 0.649258 0.66083 0.661747 0.664323 0.665502 0.670699 0.673362 0.673493 0.678515 0.679651 0.680262 0.680961 0.680961 0.68214 0.682314 0.682576 0.684017 0.684803 0.686288 0.68655 0.686769 0.686769 0.686769 0.687336 0.68786 0.688079 0.688079 0.688253 0.688384 0.688428 0.689345 0.691485 0.692445 0.692664 0.694716 0.695022 0.695633 0.695633 0.696507 0.697511 0.700786 0.701004 0.702489 0.702576 0.703624 0.705153 0.705197 0.708166 0.708559 0.709825 0.709956 0.710349 0.711092 0.712533 0.715328 0.719825 0.719913 0.720568 0.720568 0.720917 0.721441 0.721703 0.722576 0.722576 
