 dataLoadingTime iforestTime massMatrixTime sortNeighTime aScoreComputationTime TotalTime
k=1 0.000782771 0.00379806 0.0568223 0.00765649 4.7951e-05 0.0691076 
k=2 0.000782771 0.00379806 0.0568223 0.00765649 4.7042e-05 0.0691067 
k=3 0.000782771 0.00379806 0.0568223 0.00765649 5.035e-05 0.06911 
k=4 0.000782771 0.00379806 0.0568223 0.00765649 4.998e-06 0.0690647 
k=5 0.000782771 0.00379806 0.0568223 0.00765649 5.1238e-05 0.0691109 
k=6 0.000782771 0.00379806 0.0568223 0.00765649 4.914e-06 0.0690646 
k=7 0.000782771 0.00379806 0.0568223 0.00765649 4.811e-06 0.0690645 
k=8 0.000782771 0.00379806 0.0568223 0.00765649 4.779e-06 0.0690644 
k=9 0.000782771 0.00379806 0.0568223 0.00765649 6.0729e-05 0.0691204 
k=10 0.000782771 0.00379806 0.0568223 0.00765649 5.072e-06 0.0690647 
k=11 0.000782771 0.00379806 0.0568223 0.00765649 4.882e-06 0.0690646 
k=12 0.000782771 0.00379806 0.0568223 0.00765649 4.797e-06 0.0690645 
k=13 0.000782771 0.00379806 0.0568223 0.00765649 4.849e-06 0.0690645 
k=14 0.000782771 0.00379806 0.0568223 0.00765649 4.781e-06 0.0690645 
k=15 0.000782771 0.00379806 0.0568223 0.00765649 4.803e-06 0.0690645 
k=16 0.000782771 0.00379806 0.0568223 0.00765649 4.738e-06 0.0690644 
k=17 0.000782771 0.00379806 0.0568223 0.00765649 6.1545e-05 0.0691212 
k=18 0.000782771 0.00379806 0.0568223 0.00765649 4.993e-06 0.0690647 
k=19 0.000782771 0.00379806 0.0568223 0.00765649 4.866e-06 0.0690645 
k=20 0.000782771 0.00379806 0.0568223 0.00765649 4.794e-06 0.0690645 
k=21 0.000782771 0.00379806 0.0568223 0.00765649 4.805e-06 0.0690645 
k=22 0.000782771 0.00379806 0.0568223 0.00765649 4.817e-06 0.0690645 
k=23 0.000782771 0.00379806 0.0568223 0.00765649 4.832e-06 0.0690645 
k=24 0.000782771 0.00379806 0.0568223 0.00765649 4.799e-06 0.0690645 
k=25 0.000782771 0.00379806 0.0568223 0.00765649 4.87e-06 0.0690645 
k=26 0.000782771 0.00379806 0.0568223 0.00765649 4.736e-06 0.0690644 
k=27 0.000782771 0.00379806 0.0568223 0.00765649 4.853e-06 0.0690645 
k=28 0.000782771 0.00379806 0.0568223 0.00765649 4.823e-06 0.0690645 
k=29 0.000782771 0.00379806 0.0568223 0.00765649 4.845e-06 0.0690645 
k=30 0.000782771 0.00379806 0.0568223 0.00765649 4.868e-06 0.0690645 
k=31 0.000782771 0.00379806 0.0568223 0.00765649 4.885e-06 0.0690646 
k=32 0.000782771 0.00379806 0.0568223 0.00765649 4.799e-06 0.0690645 
k=33 0.000782771 0.00379806 0.0568223 0.00765649 7.2041e-05 0.0691317 
k=34 0.000782771 0.00379806 0.0568223 0.00765649 5.03e-06 0.0690647 
k=35 0.000782771 0.00379806 0.0568223 0.00765649 4.939e-06 0.0690646 
k=36 0.000782771 0.00379806 0.0568223 0.00765649 4.766e-06 0.0690644 
k=37 0.000782771 0.00379806 0.0568223 0.00765649 4.831e-06 0.0690645 
k=38 0.000782771 0.00379806 0.0568223 0.00765649 4.801e-06 0.0690645 
k=39 0.000782771 0.00379806 0.0568223 0.00765649 4.87e-06 0.0690645 
k=40 0.000782771 0.00379806 0.0568223 0.00765649 4.744e-06 0.0690644 
k=41 0.000782771 0.00379806 0.0568223 0.00765649 4.893e-06 0.0690646 
k=42 0.000782771 0.00379806 0.0568223 0.00765649 4.757e-06 0.0690644 
k=43 0.000782771 0.00379806 0.0568223 0.00765649 4.802e-06 0.0690645 
k=44 0.000782771 0.00379806 0.0568223 0.00765649 4.763e-06 0.0690644 
k=45 0.000782771 0.00379806 0.0568223 0.00765649 4.794e-06 0.0690645 
k=46 0.000782771 0.00379806 0.0568223 0.00765649 4.759e-06 0.0690644 
k=47 0.000782771 0.00379806 0.0568223 0.00765649 4.787e-06 0.0690645 
k=48 0.000782771 0.00379806 0.0568223 0.00765649 4.74e-06 0.0690644 
k=49 0.000782771 0.00379806 0.0568223 0.00765649 4.801e-06 0.0690645 
k=50 0.000782771 0.00379806 0.0568223 0.00765649 4.766e-06 0.0690644 
k=51 0.000782771 0.00379806 0.0568223 0.00765649 4.817e-06 0.0690645 
k=52 0.000782771 0.00379806 0.0568223 0.00765649 4.772e-06 0.0690644 
k=53 0.000782771 0.00379806 0.0568223 0.00765649 4.832e-06 0.0690645 
k=54 0.000782771 0.00379806 0.0568223 0.00765649 4.754e-06 0.0690644 
k=55 0.000782771 0.00379806 0.0568223 0.00765649 4.869e-06 0.0690645 
k=56 0.000782771 0.00379806 0.0568223 0.00765649 4.778e-06 0.0690644 
k=57 0.000782771 0.00379806 0.0568223 0.00765649 4.838e-06 0.0690645 
k=58 0.000782771 0.00379806 0.0568223 0.00765649 4.798e-06 0.0690645 
k=59 0.000782771 0.00379806 0.0568223 0.00765649 4.832e-06 0.0690645 
k=60 0.000782771 0.00379806 0.0568223 0.00765649 4.805e-06 0.0690645 
k=61 0.000782771 0.00379806 0.0568223 0.00765649 4.882e-06 0.0690646 
k=62 0.000782771 0.00379806 0.0568223 0.00765649 4.736e-06 0.0690644 
k=63 0.000782771 0.00379806 0.0568223 0.00765649 4.81e-06 0.0690645 
k=64 0.000782771 0.00379806 0.0568223 0.00765649 4.724e-06 0.0690644 
k=65 0.000782771 0.00379806 0.0568223 0.00765649 9.3951e-05 0.0691536 
k=66 0.000782771 0.00379806 0.0568223 0.00765649 5.148e-06 0.0690648 
k=67 0.000782771 0.00379806 0.0568223 0.00765649 4.842e-06 0.0690645 
k=68 0.000782771 0.00379806 0.0568223 0.00765649 4.792e-06 0.0690645 
k=69 0.000782771 0.00379806 0.0568223 0.00765649 4.833e-06 0.0690645 
k=70 0.000782771 0.00379806 0.0568223 0.00765649 4.723e-06 0.0690644 
k=71 0.000782771 0.00379806 0.0568223 0.00765649 4.801e-06 0.0690645 
k=72 0.000782771 0.00379806 0.0568223 0.00765649 4.701e-06 0.0690644 
k=73 0.000782771 0.00379806 0.0568223 0.00765649 4.825e-06 0.0690645 
k=74 0.000782771 0.00379806 0.0568223 0.00765649 4.796e-06 0.0690645 
k=75 0.000782771 0.00379806 0.0568223 0.00765649 4.838e-06 0.0690645 
k=76 0.000782771 0.00379806 0.0568223 0.00765649 4.716e-06 0.0690644 
k=77 0.000782771 0.00379806 0.0568223 0.00765649 4.781e-06 0.0690645 
k=78 0.000782771 0.00379806 0.0568223 0.00765649 4.713e-06 0.0690644 
k=79 0.000782771 0.00379806 0.0568223 0.00765649 4.773e-06 0.0690644 
k=80 0.000782771 0.00379806 0.0568223 0.00765649 4.737e-06 0.0690644 
k=81 0.000782771 0.00379806 0.0568223 0.00765649 4.802e-06 0.0690645 
k=82 0.000782771 0.00379806 0.0568223 0.00765649 4.731e-06 0.0690644 
k=83 0.000782771 0.00379806 0.0568223 0.00765649 4.86e-06 0.0690645 
k=84 0.000782771 0.00379806 0.0568223 0.00765649 4.737e-06 0.0690644 
k=85 0.000782771 0.00379806 0.0568223 0.00765649 4.833e-06 0.0690645 
k=86 0.000782771 0.00379806 0.0568223 0.00765649 4.74e-06 0.0690644 
k=87 0.000782771 0.00379806 0.0568223 0.00765649 4.792e-06 0.0690645 
k=88 0.000782771 0.00379806 0.0568223 0.00765649 4.743e-06 0.0690644 
k=89 0.000782771 0.00379806 0.0568223 0.00765649 4.791e-06 0.0690645 
k=90 0.000782771 0.00379806 0.0568223 0.00765649 4.766e-06 0.0690644 
k=91 0.000782771 0.00379806 0.0568223 0.00765649 4.792e-06 0.0690645 
k=92 0.000782771 0.00379806 0.0568223 0.00765649 4.719e-06 0.0690644 
k=93 0.000782771 0.00379806 0.0568223 0.00765649 4.764e-06 0.0690644 
k=94 0.000782771 0.00379806 0.0568223 0.00765649 4.726e-06 0.0690644 
k=95 0.000782771 0.00379806 0.0568223 0.00765649 4.801e-06 0.0690645 
k=96 0.000782771 0.00379806 0.0568223 0.00765649 4.737e-06 0.0690644 
k=97 0.000782771 0.00379806 0.0568223 0.00765649 4.778e-06 0.0690644 
k=98 0.000782771 0.00379806 0.0568223 0.00765649 4.708e-06 0.0690644 
k=99 0.000782771 0.00379806 0.0568223 0.00765649 4.811e-06 0.0690645 
k=100 0.000782771 0.00379806 0.0568223 0.00765649 4.696e-06 0.0690644 
k=101 0.000782771 0.00379806 0.0568223 0.00765649 4.782e-06 0.0690645 
k=102 0.000782771 0.00379806 0.0568223 0.00765649 4.759e-06 0.0690644 
k=103 0.000782771 0.00379806 0.0568223 0.00765649 4.846e-06 0.0690645 
k=104 0.000782771 0.00379806 0.0568223 0.00765649 4.745e-06 0.0690644 
k=105 0.000782771 0.00379806 0.0568223 0.00765649 4.758e-06 0.0690644 
k=106 0.000782771 0.00379806 0.0568223 0.00765649 4.73e-06 0.0690644 
k=107 0.000782771 0.00379806 0.0568223 0.00765649 4.772e-06 0.0690644 
k=108 0.000782771 0.00379806 0.0568223 0.00765649 4.777e-06 0.0690644 
k=109 0.000782771 0.00379806 0.0568223 0.00765649 4.766e-06 0.0690644 
k=110 0.000782771 0.00379806 0.0568223 0.00765649 4.764e-06 0.0690644 
k=111 0.000782771 0.00379806 0.0568223 0.00765649 4.795e-06 0.0690645 
k=112 0.000782771 0.00379806 0.0568223 0.00765649 4.722e-06 0.0690644 
k=113 0.000782771 0.00379806 0.0568223 0.00765649 4.81e-06 0.0690645 
k=114 0.000782771 0.00379806 0.0568223 0.00765649 4.731e-06 0.0690644 
k=115 0.000782771 0.00379806 0.0568223 0.00765649 4.801e-06 0.0690645 
