1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 
0.233974 0.485895 0.532402 0.560262 0.567074 0.571834 0.571834 0.577162 0.578384 0.584017 0.587904 0.594148 0.605633 0.60952 0.611878 0.6169 0.624629 0.626419 0.629607 0.634323 0.635677 0.637031 0.642052 0.642751 0.643275 0.64393 0.644279 0.644279 0.649913 0.652664 0.65441 0.655022 0.659476 0.660131 0.663755 0.663755 0.663755 0.663755 0.666812 0.669127 0.676594 0.676638 0.677555 0.679039 0.679039 0.680611 0.681223 0.681659 0.689869 0.69048 0.691921 0.692183 0.696157 0.697205 0.700175 0.701004 0.701048 0.703668 0.704716 0.707162 0.707642 0.709913 0.719651 0.722533 0.723013 0.723275 0.724017 0.724017 0.724017 0.724017 0.726812 0.727336 0.727642 0.730044 0.730437 0.731048 0.735939 0.73607 0.736638 0.738472 0.74 0.740437 0.741397 0.741397 0.742009 0.743755 0.748646 0.74869 0.748865 0.749563 0.749651 0.753799 0.755153 0.755764 0.756157 0.756856 0.757642 0.757642 0.757642 0.761397 0.761528 0.762882 0.764061 0.764279 0.765153 0.768384 0.770568 0.770742 0.773712 0.773843 0.773886 0.775022 0.775546 0.776332 0.776594 
0.372882 0.372882 0.442751 0.467511 0.467511 0.505808 0.505808 0.505808 0.505808 0.507205 0.507991 0.513712 0.52048 0.521441 0.52821 0.52821 0.52821 0.529782 0.529782 0.529782 0.529956 0.534148 0.534148 0.537205 0.538122 0.540087 0.541878 0.55214 0.554716 0.554716 0.554716 0.554716 0.561747 0.569913 0.571965 0.573406 0.574192 0.574192 0.577991 0.580742 0.583668 0.586812 0.586812 0.594454 0.595721 0.60559 0.609607 0.61476 0.614934 0.623275 0.624105 0.624454 0.639345 0.650087 0.653275 0.656812 0.659214 0.669476 0.687642 0.693319 0.693406 0.693755 0.697336 0.698908 0.699214 0.702052 0.702052 0.704105 0.704541 0.704847 0.704847 0.709651 0.709782 0.712009 0.712795 0.714192 0.718341 0.718996 0.719039 0.719039 0.719301 0.720218 0.720873 0.721135 0.721135 0.722445 0.724105 0.72524 0.725459 0.726987 0.726987 0.727467 0.728996 0.730786 0.731004 0.731004 0.731004 0.731004 0.731004 0.731004 0.731004 0.731921 0.733406 0.733799 0.734148 0.734978 0.734978 0.735109 0.735109 0.735197 0.736245 0.737817 0.739607 0.739651 0.741397 
0.302402 0.461616 0.499782 0.51 0.51179 0.512576 0.517293 0.526769 0.537074 0.538122 0.538297 0.541179 0.551223 0.558908 0.559127 0.564061 0.577555 0.582533 0.58262 0.587555 0.601747 0.604105 0.607336 0.611703 0.612052 0.618734 0.623406 0.625939 0.626681 0.628122 0.62869 0.631048 0.631878 0.632096 0.637205 0.637467 0.638472 0.64048 0.644148 0.644498 0.644891 0.645371 0.645633 0.647031 0.648865 0.652009 0.656376 0.657817 0.663799 0.664847 0.669956 0.671135 0.671135 0.674716 0.676463 0.678253 0.679039 0.68214 0.689039 0.689214 0.690087 0.693843 0.694672 0.696201 0.700437 0.70131 0.701965 0.703537 0.704279 0.706594 0.706638 0.707467 0.711179 0.714367 0.71821 0.718734 0.719913 0.722751 0.723668 0.723668 0.723799 0.72393 0.723974 0.724279 0.725939 0.726114 0.728515 0.729825 0.733886 0.734541 0.73738 0.741572 0.741834 0.743493 0.74393 0.744672 0.744803 0.745415 0.745852 0.747205 0.748472 0.748865 0.750524 0.751092 0.751485 0.752576 0.752751 0.752751 0.753275 0.753319 0.753668 0.755983 0.7569 0.7569 0.759782 
0.286638 0.496769 0.545502 0.568559 0.569738 0.570349 0.57476 0.576856 0.578384 0.582445 0.596376 0.597773 0.602358 0.605983 0.607424 0.608646 0.608646 0.612533 0.612533 0.618428 0.618777 0.620524 0.623974 0.624367 0.628079 0.629913 0.630917 0.632227 0.634498 0.63476 0.636288 0.638865 0.639345 0.639738 0.640611 0.640611 0.640611 0.640611 0.643275 0.65048 0.653275 0.653275 0.654934 0.654934 0.65524 0.655939 0.661703 0.66214 0.663144 0.666681 0.669127 0.669127 0.67393 0.675109 0.6769 0.681048 0.681266 0.681266 0.681266 0.681266 0.686026 0.688908 0.694672 0.696245 0.698821 0.69917 0.699214 0.70083 0.70345 0.704192 0.705983 0.707948 0.708472 0.711092 0.711397 0.71179 0.712096 0.712489 0.717948 0.719913 0.723668 0.72607 0.727031 0.729694 0.731266 0.731354 0.731354 0.734236 0.734672 0.734672 0.735502 0.738603 0.743013 0.74345 0.74441 0.744672 0.746245 0.747948 0.749825 0.750655 0.750655 0.752183 0.753624 0.75786 0.758472 0.758515 0.759301 0.760961 0.760961 0.761834 0.762882 0.763275 0.763275 0.763275 0.763275 
0.249956 0.447948 0.475939 0.487817 0.565459 0.574148 0.586288 0.588122 0.590131 0.6 0.600611 0.600873 0.605808 0.606245 0.606812 0.609607 0.613144 0.618079 0.618079 0.618734 0.622445 0.634891 0.63524 0.638734 0.642751 0.649345 0.649432 0.654629 0.656114 0.660393 0.661528 0.661878 0.664061 0.665808 0.667336 0.670087 0.672533 0.678341 0.685459 0.686332 0.688079 0.68869 0.688865 0.691179 0.691179 0.693231 0.695328 0.695852 0.697205 0.699214 0.699389 0.699476 0.704454 0.704847 0.706376 0.709825 0.71 0.710087 0.714934 0.715197 0.716812 0.723624 0.728341 0.728952 0.729214 0.732533 0.736026 0.73738 0.738865 0.739039 0.739258 0.739476 0.739738 0.741048 0.745197 0.745328 0.745415 0.745415 0.745415 0.745415 0.74559 0.745808 0.746987 0.746987 0.750742 0.751092 0.751747 0.753886 0.75393 0.754279 0.754279 0.754454 0.757511 0.757511 0.758035 0.758253 0.758821 0.758821 0.758821 0.758821 0.759083 0.760786 0.761092 0.761921 0.762795 0.76345 0.765328 0.766419 0.76821 0.768428 0.768865 0.769956 0.7731 0.77524 0.77524 
0.387074 0.520306 0.579738 0.587904 0.588035 0.592402 0.596245 0.597642 0.60393 0.604192 0.611397 0.61952 0.622576 0.623581 0.623974 0.62524 0.62821 0.62821 0.629476 0.629738 0.632183 0.635284 0.637249 0.639825 0.640611 0.642009 0.64262 0.643755 0.646157 0.646681 0.650524 0.650524 0.650524 0.650524 0.654367 0.655415 0.655415 0.655939 0.661223 0.66179 0.662402 0.662882 0.663581 0.66524 0.66524 0.665895 0.668472 0.668777 0.669083 0.669083 0.669083 0.669127 0.66917 0.669301 0.669869 0.670961 0.672445 0.672445 0.672445 0.672838 0.674017 0.675502 0.6769 0.677205 0.677948 0.678035 0.67821 0.678865 0.678865 0.679345 0.680699 0.680873 0.682358 0.683799 0.684891 0.685066 0.685109 0.68524 0.687205 0.688559 0.688646 0.690524 0.690786 0.691616 0.695939 0.697467 0.698952 0.699607 0.699607 0.701092 0.702445 0.703843 0.704192 0.705546 0.705895 0.706245 0.707555 0.707555 0.709913 0.709956 0.714367 0.714672 0.715808 0.715939 0.717162 0.717948 0.718297 0.71869 0.719389 0.719476 0.719956 0.719956 0.719956 0.719956 0.720044 
0.314891 0.411092 0.434847 0.445109 0.451747 0.455328 0.479651 0.485764 0.495197 0.49738 0.501179 0.504629 0.510131 0.523493 0.524672 0.526725 0.531528 0.538559 0.542009 0.545633 0.561878 0.563843 0.564236 0.568559 0.574105 0.577686 0.584017 0.589301 0.592751 0.592926 0.600044 0.605415 0.609607 0.610087 0.61952 0.624891 0.625939 0.62786 0.629083 0.634541 0.637991 0.639258 0.639258 0.643537 0.646332 0.64821 0.64821 0.649738 0.650087 0.650786 0.650786 0.651747 0.655371 0.656638 0.662227 0.662314 0.669738 0.671441 0.674279 0.676594 0.682096 0.683406 0.684105 0.684279 0.684279 0.684279 0.684279 0.68738 0.687642 0.690218 0.691048 0.692795 0.69393 0.695371 0.695371 0.695415 0.697555 0.698821 0.69917 0.699782 0.699825 0.701528 0.704891 0.7069 0.707686 0.709432 0.712489 0.713319 0.714017 0.718035 0.718646 0.720568 0.720568 0.72179 0.725459 0.725764 0.725764 0.72821 0.72917 0.730044 0.731572 0.732183 0.733275 0.735415 0.735415 0.735415 0.735415 0.739258 0.741616 0.742402 0.745764 0.747336 0.748515 0.749913 0.751485 
0.426507 0.426507 0.426507 0.428079 0.428079 0.428079 0.487773 0.490786 0.490786 0.494585 0.495633 0.500961 0.502969 0.509039 0.514279 0.520568 0.52821 0.52821 0.535721 0.548865 0.553799 0.553799 0.553799 0.553799 0.555284 0.557511 0.559956 0.574934 0.581441 0.585502 0.586201 0.590611 0.596114 0.59786 0.599913 0.600175 0.600175 0.600349 0.600349 0.606594 0.616245 0.617948 0.617948 0.617948 0.617948 0.6269 0.628472 0.634847 0.634891 0.635721 0.636288 0.641179 0.641485 0.641485 0.641703 0.643712 0.646507 0.648472 0.650917 0.653406 0.653668 0.654847 0.655546 0.65559 0.655939 0.657467 0.657991 0.66179 0.661965 0.663493 0.663974 0.664672 0.665633 0.666856 0.667729 0.667729 0.667729 0.667729 0.667729 0.667729 0.667904 0.671485 0.671703 0.671834 0.672445 0.67262 0.673144 0.673144 0.675066 0.675066 0.677249 0.680131 0.680262 0.680349 0.681878 0.682707 0.685983 0.686681 0.688908 0.690044 0.691572 0.693799 0.69607 0.701703 0.70214 0.702926 0.71048 0.711135 0.712009 0.713188 0.720742 0.723231 0.723231 0.729476 0.731048 
0.397555 0.504279 0.514017 0.517729 0.528515 0.533799 0.535939 0.537118 0.538341 0.544236 0.545808 0.550087 0.550262 0.563231 0.567336 0.569083 0.570961 0.579607 0.583799 0.587467 0.58917 0.589389 0.592707 0.601266 0.603537 0.60393 0.605546 0.607336 0.611703 0.615022 0.615677 0.616812 0.616812 0.617598 0.621747 0.622096 0.623843 0.62393 0.626419 0.62655 0.629956 0.630349 0.632707 0.635764 0.64048 0.644279 0.644585 0.644629 0.646245 0.652751 0.653275 0.656769 0.656769 0.662489 0.668865 0.669345 0.670611 0.673231 0.676157 0.676594 0.680961 0.683799 0.684061 0.684454 0.68655 0.687031 0.688603 0.689432 0.691179 0.691354 0.691703 0.691834 0.694279 0.695459 0.696463 0.700044 0.700218 0.700218 0.70048 0.701965 0.702664 0.702926 0.703144 0.704803 0.705197 0.705895 0.709258 0.710131 0.710568 0.713624 0.713668 0.713668 0.716856 0.717336 0.717817 0.721659 0.722838 0.723144 0.723799 0.724629 0.725764 0.725939 0.733537 0.736026 0.736681 0.738166 0.738166 0.738166 0.738166 0.738166 0.738297 0.739432 0.73952 0.739869 0.739913 
0.391747 0.391747 0.391747 0.391747 0.441397 0.474367 0.484585 0.489563 0.496507 0.505808 0.505808 0.514367 0.516419 0.518079 0.518079 0.529956 0.531921 0.531921 0.537948 0.53821 0.53821 0.542795 0.543581 0.543755 0.545852 0.55083 0.55083 0.55083 0.553799 0.553799 0.553799 0.555633 0.555633 0.555633 0.555633 0.556114 0.559345 0.56559 0.565764 0.56607 0.570524 0.577686 0.585371 0.588559 0.590393 0.596463 0.603624 0.609563 0.611266 0.614803 0.622926 0.640568 0.654541 0.657424 0.659956 0.660393 0.662271 0.662445 0.662751 0.662751 0.663362 0.666725 0.670349 0.67179 0.680262 0.680786 0.681266 0.681397 0.683493 0.683493 0.683493 0.683493 0.683493 0.685502 0.686288 0.687598 0.688908 0.688908 0.690917 0.691921 0.693013 0.694934 0.695109 0.695502 0.696288 0.696769 0.697293 0.699083 0.700568 0.701441 0.701921 0.70262 0.7031 0.703275 0.703537 0.704236 0.706725 0.707293 0.708297 0.71048 0.711048 0.711092 0.712052 0.714148 0.717205 0.718341 0.718908 0.719956 0.721616 0.721616 0.72179 0.724017 0.724105 0.724279 0.728821 
