 dataLoadingTime iforestTime massMatrixTime sortNeighTime aScoreComputationTime TotalTime
k=1 0.000745659 0.00348492 0.165806 0.00761419 4.8158e-05 0.177699 
k=2 0.000745659 0.00348492 0.165806 0.00761419 4.7439e-05 0.177699 
k=3 0.000745659 0.00348492 0.165806 0.00761419 5.319e-05 0.177704 
k=4 0.000745659 0.00348492 0.165806 0.00761419 5.063e-06 0.177656 
k=5 0.000745659 0.00348492 0.165806 0.00761419 5.2701e-05 0.177704 
k=6 0.000745659 0.00348492 0.165806 0.00761419 4.886e-06 0.177656 
k=7 0.000745659 0.00348492 0.165806 0.00761419 4.965e-06 0.177656 
k=8 0.000745659 0.00348492 0.165806 0.00761419 4.825e-06 0.177656 
k=9 0.000745659 0.00348492 0.165806 0.00761419 5.5404e-05 0.177707 
k=10 0.000745659 0.00348492 0.165806 0.00761419 4.899e-06 0.177656 
k=11 0.000745659 0.00348492 0.165806 0.00761419 4.831e-06 0.177656 
k=12 0.000745659 0.00348492 0.165806 0.00761419 4.756e-06 0.177656 
k=13 0.000745659 0.00348492 0.165806 0.00761419 4.959e-06 0.177656 
k=14 0.000745659 0.00348492 0.165806 0.00761419 4.785e-06 0.177656 
k=15 0.000745659 0.00348492 0.165806 0.00761419 4.803e-06 0.177656 
k=16 0.000745659 0.00348492 0.165806 0.00761419 4.772e-06 0.177656 
k=17 0.000745659 0.00348492 0.165806 0.00761419 6.0606e-05 0.177712 
k=18 0.000745659 0.00348492 0.165806 0.00761419 4.901e-06 0.177656 
k=19 0.000745659 0.00348492 0.165806 0.00761419 4.929e-06 0.177656 
k=20 0.000745659 0.00348492 0.165806 0.00761419 4.804e-06 0.177656 
k=21 0.000745659 0.00348492 0.165806 0.00761419 4.878e-06 0.177656 
k=22 0.000745659 0.00348492 0.165806 0.00761419 4.79e-06 0.177656 
k=23 0.000745659 0.00348492 0.165806 0.00761419 4.887e-06 0.177656 
k=24 0.000745659 0.00348492 0.165806 0.00761419 4.847e-06 0.177656 
k=25 0.000745659 0.00348492 0.165806 0.00761419 4.997e-06 0.177656 
k=26 0.000745659 0.00348492 0.165806 0.00761419 4.819e-06 0.177656 
k=27 0.000745659 0.00348492 0.165806 0.00761419 4.867e-06 0.177656 
k=28 0.000745659 0.00348492 0.165806 0.00761419 4.838e-06 0.177656 
k=29 0.000745659 0.00348492 0.165806 0.00761419 4.888e-06 0.177656 
k=30 0.000745659 0.00348492 0.165806 0.00761419 4.871e-06 0.177656 
k=31 0.000745659 0.00348492 0.165806 0.00761419 4.881e-06 0.177656 
k=32 0.000745659 0.00348492 0.165806 0.00761419 4.831e-06 0.177656 
k=33 0.000745659 0.00348492 0.165806 0.00761419 7.3148e-05 0.177724 
k=34 0.000745659 0.00348492 0.165806 0.00761419 4.946e-06 0.177656 
k=35 0.000745659 0.00348492 0.165806 0.00761419 4.83e-06 0.177656 
k=36 0.000745659 0.00348492 0.165806 0.00761419 4.795e-06 0.177656 
k=37 0.000745659 0.00348492 0.165806 0.00761419 4.953e-06 0.177656 
k=38 0.000745659 0.00348492 0.165806 0.00761419 4.83e-06 0.177656 
k=39 0.000745659 0.00348492 0.165806 0.00761419 4.849e-06 0.177656 
k=40 0.000745659 0.00348492 0.165806 0.00761419 4.816e-06 0.177656 
k=41 0.000745659 0.00348492 0.165806 0.00761419 4.846e-06 0.177656 
k=42 0.000745659 0.00348492 0.165806 0.00761419 4.774e-06 0.177656 
k=43 0.000745659 0.00348492 0.165806 0.00761419 4.865e-06 0.177656 
k=44 0.000745659 0.00348492 0.165806 0.00761419 4.765e-06 0.177656 
k=45 0.000745659 0.00348492 0.165806 0.00761419 4.84e-06 0.177656 
k=46 0.000745659 0.00348492 0.165806 0.00761419 4.81e-06 0.177656 
k=47 0.000745659 0.00348492 0.165806 0.00761419 4.814e-06 0.177656 
k=48 0.000745659 0.00348492 0.165806 0.00761419 4.827e-06 0.177656 
k=49 0.000745659 0.00348492 0.165806 0.00761419 4.862e-06 0.177656 
k=50 0.000745659 0.00348492 0.165806 0.00761419 4.744e-06 0.177656 
k=51 0.000745659 0.00348492 0.165806 0.00761419 4.803e-06 0.177656 
k=52 0.000745659 0.00348492 0.165806 0.00761419 4.77e-06 0.177656 
k=53 0.000745659 0.00348492 0.165806 0.00761419 4.841e-06 0.177656 
k=54 0.000745659 0.00348492 0.165806 0.00761419 4.773e-06 0.177656 
k=55 0.000745659 0.00348492 0.165806 0.00761419 4.868e-06 0.177656 
k=56 0.000745659 0.00348492 0.165806 0.00761419 4.765e-06 0.177656 
k=57 0.000745659 0.00348492 0.165806 0.00761419 4.884e-06 0.177656 
k=58 0.000745659 0.00348492 0.165806 0.00761419 4.766e-06 0.177656 
k=59 0.000745659 0.00348492 0.165806 0.00761419 4.829e-06 0.177656 
k=60 0.000745659 0.00348492 0.165806 0.00761419 4.785e-06 0.177656 
k=61 0.000745659 0.00348492 0.165806 0.00761419 5.024e-06 0.177656 
k=62 0.000745659 0.00348492 0.165806 0.00761419 4.821e-06 0.177656 
k=63 0.000745659 0.00348492 0.165806 0.00761419 4.874e-06 0.177656 
k=64 0.000745659 0.00348492 0.165806 0.00761419 4.806e-06 0.177656 
k=65 0.000745659 0.00348492 0.165806 0.00761419 9.6716e-05 0.177748 
k=66 0.000745659 0.00348492 0.165806 0.00761419 5.113e-06 0.177656 
k=67 0.000745659 0.00348492 0.165806 0.00761419 4.865e-06 0.177656 
k=68 0.000745659 0.00348492 0.165806 0.00761419 4.858e-06 0.177656 
k=69 0.000745659 0.00348492 0.165806 0.00761419 4.898e-06 0.177656 
k=70 0.000745659 0.00348492 0.165806 0.00761419 4.838e-06 0.177656 
k=71 0.000745659 0.00348492 0.165806 0.00761419 4.922e-06 0.177656 
k=72 0.000745659 0.00348492 0.165806 0.00761419 4.792e-06 0.177656 
k=73 0.000745659 0.00348492 0.165806 0.00761419 4.933e-06 0.177656 
k=74 0.000745659 0.00348492 0.165806 0.00761419 4.808e-06 0.177656 
k=75 0.000745659 0.00348492 0.165806 0.00761419 4.839e-06 0.177656 
k=76 0.000745659 0.00348492 0.165806 0.00761419 4.808e-06 0.177656 
k=77 0.000745659 0.00348492 0.165806 0.00761419 4.954e-06 0.177656 
k=78 0.000745659 0.00348492 0.165806 0.00761419 4.764e-06 0.177656 
k=79 0.000745659 0.00348492 0.165806 0.00761419 4.847e-06 0.177656 
k=80 0.000745659 0.00348492 0.165806 0.00761419 4.762e-06 0.177656 
k=81 0.000745659 0.00348492 0.165806 0.00761419 5.276e-06 0.177656 
k=82 0.000745659 0.00348492 0.165806 0.00761419 4.792e-06 0.177656 
k=83 0.000745659 0.00348492 0.165806 0.00761419 4.827e-06 0.177656 
k=84 0.000745659 0.00348492 0.165806 0.00761419 4.788e-06 0.177656 
k=85 0.000745659 0.00348492 0.165806 0.00761419 4.892e-06 0.177656 
k=86 0.000745659 0.00348492 0.165806 0.00761419 4.847e-06 0.177656 
k=87 0.000745659 0.00348492 0.165806 0.00761419 4.857e-06 0.177656 
k=88 0.000745659 0.00348492 0.165806 0.00761419 4.828e-06 0.177656 
k=89 0.000745659 0.00348492 0.165806 0.00761419 4.873e-06 0.177656 
k=90 0.000745659 0.00348492 0.165806 0.00761419 4.834e-06 0.177656 
k=91 0.000745659 0.00348492 0.165806 0.00761419 4.844e-06 0.177656 
k=92 0.000745659 0.00348492 0.165806 0.00761419 4.766e-06 0.177656 
k=93 0.000745659 0.00348492 0.165806 0.00761419 5.061e-06 0.177656 
k=94 0.000745659 0.00348492 0.165806 0.00761419 4.811e-06 0.177656 
k=95 0.000745659 0.00348492 0.165806 0.00761419 4.854e-06 0.177656 
k=96 0.000745659 0.00348492 0.165806 0.00761419 4.793e-06 0.177656 
k=97 0.000745659 0.00348492 0.165806 0.00761419 4.865e-06 0.177656 
k=98 0.000745659 0.00348492 0.165806 0.00761419 4.762e-06 0.177656 
k=99 0.000745659 0.00348492 0.165806 0.00761419 4.831e-06 0.177656 
k=100 0.000745659 0.00348492 0.165806 0.00761419 4.787e-06 0.177656 
k=101 0.000745659 0.00348492 0.165806 0.00761419 5.008e-06 0.177656 
k=102 0.000745659 0.00348492 0.165806 0.00761419 4.903e-06 0.177656 
k=103 0.000745659 0.00348492 0.165806 0.00761419 4.869e-06 0.177656 
k=104 0.000745659 0.00348492 0.165806 0.00761419 4.824e-06 0.177656 
k=105 0.000745659 0.00348492 0.165806 0.00761419 4.977e-06 0.177656 
k=106 0.000745659 0.00348492 0.165806 0.00761419 4.823e-06 0.177656 
k=107 0.000745659 0.00348492 0.165806 0.00761419 4.853e-06 0.177656 
k=108 0.000745659 0.00348492 0.165806 0.00761419 4.802e-06 0.177656 
k=109 0.000745659 0.00348492 0.165806 0.00761419 4.866e-06 0.177656 
k=110 0.000745659 0.00348492 0.165806 0.00761419 4.79e-06 0.177656 
k=111 0.000745659 0.00348492 0.165806 0.00761419 4.829e-06 0.177656 
k=112 0.000745659 0.00348492 0.165806 0.00761419 4.787e-06 0.177656 
k=113 0.000745659 0.00348492 0.165806 0.00761419 4.832e-06 0.177656 
k=114 0.000745659 0.00348492 0.165806 0.00761419 4.72e-06 0.177656 
k=115 0.000745659 0.00348492 0.165806 0.00761419 4.81e-06 0.177656 
