 dataLoadingTime iforestTime massMatrixTime sortNeighTime aScoreComputationTime TotalTime
k=1 0.000746492 0.00402014 0.279131 0.00767317 4.8484e-05 0.29162 
k=2 0.000746492 0.00402014 0.279131 0.00767317 4.7888e-05 0.291619 
k=3 0.000746492 0.00402014 0.279131 0.00767317 5.1723e-05 0.291623 
k=4 0.000746492 0.00402014 0.279131 0.00767317 4.858e-06 0.291576 
k=5 0.000746492 0.00402014 0.279131 0.00767317 5.2302e-05 0.291623 
k=6 0.000746492 0.00402014 0.279131 0.00767317 4.833e-06 0.291576 
k=7 0.000746492 0.00402014 0.279131 0.00767317 4.942e-06 0.291576 
k=8 0.000746492 0.00402014 0.279131 0.00767317 4.731e-06 0.291576 
k=9 0.000746492 0.00402014 0.279131 0.00767317 5.624e-05 0.291627 
k=10 0.000746492 0.00402014 0.279131 0.00767317 4.913e-06 0.291576 
k=11 0.000746492 0.00402014 0.279131 0.00767317 4.936e-06 0.291576 
k=12 0.000746492 0.00402014 0.279131 0.00767317 4.78e-06 0.291576 
k=13 0.000746492 0.00402014 0.279131 0.00767317 4.845e-06 0.291576 
k=14 0.000746492 0.00402014 0.279131 0.00767317 4.72e-06 0.291576 
k=15 0.000746492 0.00402014 0.279131 0.00767317 4.846e-06 0.291576 
k=16 0.000746492 0.00402014 0.279131 0.00767317 4.754e-06 0.291576 
k=17 0.000746492 0.00402014 0.279131 0.00767317 6.0284e-05 0.291631 
k=18 0.000746492 0.00402014 0.279131 0.00767317 4.923e-06 0.291576 
k=19 0.000746492 0.00402014 0.279131 0.00767317 4.954e-06 0.291576 
k=20 0.000746492 0.00402014 0.279131 0.00767317 4.759e-06 0.291576 
k=21 0.000746492 0.00402014 0.279131 0.00767317 4.848e-06 0.291576 
k=22 0.000746492 0.00402014 0.279131 0.00767317 4.752e-06 0.291576 
k=23 0.000746492 0.00402014 0.279131 0.00767317 4.815e-06 0.291576 
k=24 0.000746492 0.00402014 0.279131 0.00767317 4.765e-06 0.291576 
k=25 0.000746492 0.00402014 0.279131 0.00767317 4.832e-06 0.291576 
k=26 0.000746492 0.00402014 0.279131 0.00767317 4.751e-06 0.291576 
k=27 0.000746492 0.00402014 0.279131 0.00767317 4.985e-06 0.291576 
k=28 0.000746492 0.00402014 0.279131 0.00767317 4.762e-06 0.291576 
k=29 0.000746492 0.00402014 0.279131 0.00767317 4.804e-06 0.291576 
k=30 0.000746492 0.00402014 0.279131 0.00767317 4.763e-06 0.291576 
k=31 0.000746492 0.00402014 0.279131 0.00767317 4.854e-06 0.291576 
k=32 0.000746492 0.00402014 0.279131 0.00767317 4.718e-06 0.291576 
k=33 0.000746492 0.00402014 0.279131 0.00767317 7.2483e-05 0.291644 
k=34 0.000746492 0.00402014 0.279131 0.00767317 4.992e-06 0.291576 
k=35 0.000746492 0.00402014 0.279131 0.00767317 4.914e-06 0.291576 
k=36 0.000746492 0.00402014 0.279131 0.00767317 4.776e-06 0.291576 
k=37 0.000746492 0.00402014 0.279131 0.00767317 4.783e-06 0.291576 
k=38 0.000746492 0.00402014 0.279131 0.00767317 4.728e-06 0.291576 
k=39 0.000746492 0.00402014 0.279131 0.00767317 4.844e-06 0.291576 
k=40 0.000746492 0.00402014 0.279131 0.00767317 4.716e-06 0.291576 
k=41 0.000746492 0.00402014 0.279131 0.00767317 4.873e-06 0.291576 
k=42 0.000746492 0.00402014 0.279131 0.00767317 4.718e-06 0.291576 
k=43 0.000746492 0.00402014 0.279131 0.00767317 4.895e-06 0.291576 
k=44 0.000746492 0.00402014 0.279131 0.00767317 4.723e-06 0.291576 
k=45 0.000746492 0.00402014 0.279131 0.00767317 4.798e-06 0.291576 
k=46 0.000746492 0.00402014 0.279131 0.00767317 4.738e-06 0.291576 
k=47 0.000746492 0.00402014 0.279131 0.00767317 4.83e-06 0.291576 
k=48 0.000746492 0.00402014 0.279131 0.00767317 4.75e-06 0.291576 
k=49 0.000746492 0.00402014 0.279131 0.00767317 4.822e-06 0.291576 
k=50 0.000746492 0.00402014 0.279131 0.00767317 4.711e-06 0.291576 
k=51 0.000746492 0.00402014 0.279131 0.00767317 4.904e-06 0.291576 
k=52 0.000746492 0.00402014 0.279131 0.00767317 4.75e-06 0.291576 
